,pca_vecs
0,"[-43798.85047172592,7171.480524866272,-21028.56441304679,-21216.304662901683,1263.507681793903]"
1,"[-43817.37474907433,7474.629796253453,-21293.43108867354,-21431.88245753969,1180.9531773244016]"
2,"[-43539.003528987625,7191.656852942581,-21088.898473854963,-20802.87689646269,1401.7327798724762]"
3,"[-43769.59761587273,7487.528505636397,-21311.80507294262,-21225.492686578174,1141.1997438528922]"
4,"[-43859.571719131854,7166.31849912968,-21012.957986219084,-21328.32242835479,1303.437979187213]"
5,"[-43871.8868153216,7149.721697917989,-21044.87365647167,-21329.62028081095,1244.9471131645105]"
6,"[-43799.59464083134,7442.588132491592,-21269.472226727994,-21594.49294561817,1211.4036855816394]"
7,"[-43673.58632739455,7153.1253961563525,-21110.74378688593,-20990.715363344614,1226.9022831098068]"
8,"[-43733.912799714984,7169.748588261325,-21098.433365388257,-21119.47795360019,1217.1327194602802]"
9,"[-44076.00717732729,7472.029126796488,-21165.91570739502,-21964.36144257762,1342.251641508081]"
10,"[-43325.69980466958,7350.189967277919,-21093.76729744707,-20447.940264528104,1880.4562672620436]"
11,"[-43634.2203186449,7123.388831621438,-21100.99639777448,-20854.580088313076,1291.3003720813967]"
12,"[-43934.4487138192,7191.261474892428,-20987.84330089449,-21494.115257334797,1259.3975479122855]"
13,"[-43658.87275404152,7552.935059113561,-21370.51371036552,-20942.04768729905,1073.7177555793533]"
14,"[-43377.97630861556,7422.568623043701,-21111.952084517852,-20292.042859713365,2070.6224114087895]"
15,"[-43730.94805913284,7528.555901611992,-21350.236569546945,-21116.62222168477,1096.3949419182247]"
16,"[-44038.285605037796,7491.865724057352,-21233.838099058128,-21796.02217825046,1273.8663786341729]"
17,"[-43917.90013603475,7453.032559108867,-21250.35936709653,-21650.94749940783,1207.3013090996355]"
18,"[-43586.68298649398,7155.272099224307,-21142.098592637944,-20832.930508108973,1296.0613208707007]"
19,"[-44277.23067098632,7532.685485301428,-21079.77294231934,-22216.407879902392,1399.076639900414]"
20,"[-44205.665705114945,7520.24899378387,-21163.81265279616,-21976.611791154,1352.7319434811373]"
21,"[-44353.959039779285,7584.289859311338,-21016.602395920727,-22302.367125286873,1424.078670476218]"
22,"[-43385.42927597344,7436.627044702288,-21155.591025778445,-20310.060913405956,1950.404660974659]"
23,"[-44499.0695148454,7628.621932918672,-20972.232562643767,-22458.3703111331,1616.366343234819]"
24,"[-44420.76320940705,7550.691769243697,-21056.952477730065,-22279.66405243463,1452.564217104492]"
25,"[-45126.56751532551,9221.23605743375,-20520.229903729214,-23026.902714695658,1403.966013631669]"
26,"[-45294.35831433739,9288.37143416657,-20248.205838427737,-23139.82944275202,1714.4955917120158]"
27,"[-45252.06859568183,9248.618096662347,-20335.731807030843,-23141.28375540926,1600.1639482297012]"
28,"[-45110.406629005236,9226.29967823989,-20423.328717946428,-23098.366614469327,1459.964579331375]"
29,"[-45198.54013018652,9267.200706800999,-20345.779085854792,-23177.609847980253,1532.8445886742898]"
30,"[-45061.10464458792,9177.671623001275,-20557.2126381353,-22996.195214938343,1378.9103240204338]"
31,"[-45249.32205690027,9355.65565949976,-20408.422999960087,-22754.603683135585,1390.9178509543249]"
32,"[-45169.97137844586,9388.378305239186,-20589.93852641334,-22967.77733956502,1226.2448384694828]"
33,"[-45236.26354488031,9350.208363184249,-20216.807755739177,-22608.1108118466,1600.9652686520953]"
34,"[-45159.82949928077,9384.164661637216,-20461.38227409715,-22880.95174715477,1292.6780777282368]"
35,"[-45126.08351969859,9388.398772238286,-20576.957873657982,-22904.057257658584,1263.9155529539057]"
36,"[-45269.5768400059,9350.000980986979,-20299.170263752676,-22736.20944558709,1490.2569244231163]"
